,pricing,address,space
0,"$2,425+ 1 bd","Parkside Manor | 14831 90th Ave, Jamaica, NY","$2,940+ 2 bds "
1,"$1,795+ Studio","Fairfield Manor at Douglaston | 43 Douglaston Pkwy, Little Neck, NY","$2,345+ 1 bd$2,795+ 2 bds "
2,"$1,581+ 1 bd","Noonan Towers | 939 Woodycrest Ave, Bronx, NY",nan
3,"$1,700+ Studio","Park Haven Place | 88 153rd St, Jamaica, NY","$2,199+ 1 bd$2,599+ 2 bds "
4,"$2,000+ Studio","Alvista Rise | 147-25 94th Ave, Jamaica, NY","$2,300+ 1 bd$2,750+ 2 bds "
5,"$1,594+ Studio","ALTA by Common | 2922 Northern Blvd, Long Island City, NY",nan
6,"$1,306+ Studio","Common at The Heritage | 1660 Madison Ave, New York, NY",nan
7,"$2,200/mo","2180 Reeds Mill Ln #2, Bronx, NY 10475",2 bds1 ba-- sqft - Apartment for rent
8,"$1,798+ 1 bd","505 85th St, Brooklyn, NY",nan
9,"$2,995/mo","312 Park Ave #2, Brooklyn, NY 11205",2 bds1 ba-- sqft - Apartment for rent
10,"$5,150+ Studio","460 W 42nd St, New York, NY","$5,250+ 1 bd$8,500+ 2 bds "
11,"$2,599/mo","292 Covert St #1B, Brooklyn, NY 11237",1 bd1 ba750 sqft - Apartment for rent
12,"$3,750+ 2 bds","47 E 30th St, New York, NY",nan
13,"$2,350/mo","272 W 139th St APT 4C, New York, NY 10030",1 bd1 ba-- sqft - Apartment for rent
14,"$4,300+ Studio","572 11th Ave, New York, NY","$5,550+ 1 bd "
15,"$3,198+ 3 bds","403 Macon St, Brooklyn, NY",nan
16,"$4,000+ 1 bd","101 Avenue D, New York, NY",nan
17,"$2,000+ 1 bd","1692 Linden St, Ridgewood, NY","$3,500+ 4 bds "
18,"$7,495/mo","458 State St #A, Brooklyn, NY 11217","2 bds2.5 ba1,600 sqft - Apartment for rent"
19,"$2,500+ 1 bd","201 Troy Ave, Brooklyn, NY","$2,600+ 2 bds "
20,"$1,785+ 1 bd","1611 Jefferson Ave, Ridgewood, NY","$3,400+ 3 bds "
21,"$2,300/mo","2867 Webster Ave #1, Bronx, NY 10458",2 bds1 ba-- sqft - Apartment for rent
22,"$2,475/mo","122 Dikeman St APT 3R, Brooklyn, NY 11231",1 bd1 ba-- sqft - Apartment for rent
23,"$3,795+ 2 bds","611 E 11th St, New York, NY",nan
24,"$4,650/mo","482 Lafayette Ave #1L, Brooklyn, NY 11205",4 bds2 ba-- sqft - Apartment for rent
25,"$2,900+ 1 bd","131-05 40th Rd, Flushing, NY","$6,800+ 3 bds "
26,"$2,495+ 1 bd","1114 Halsey St, Brooklyn, NY","$2,795+ 2 bds "
27,"$4,100+ 1 bd","591 3rd Ave, New York, NY",nan
28,"$2,350/mo","35-21 81st St #2, Jackson Heights, NY 11372",1 bd1 ba-- sqft - Apartment for rent
29,"$1,600/mo","2024 Continental Ave #31A, Bronx, NY 10461",1 bd1 ba-- sqft - Apartment for rent
30,"$3,175/mo","313 W 76th St APT 3A, New York, NY 10023",Studio 1 ba-- sqft - Apartment for rent
31,"$5,000/mo","370 W 30th St APT 9B, New York, NY 10001",2 bds1 ba-- sqft - Apartment for rent
32,"$2,225/mo","351 92nd St APT 4, Brooklyn, NY 11209",2 bds1 ba-- sqft - Apartment for rent
33,"$3,295+ 2 bds","33-53 82nd St, Jackson Heights, NY","$3,395+ 3 bds "
34,"$2,595/mo","2532 30th Dr, Long Island City, NY 11102",Studio 1 ba-- sqft - Apartment for rent
35,"$1,829/mo","59-17 70th Ave #1R, Ridgewood, NY 11385",Studio 1 ba550 sqft - Apartment for rent
36,"$1,900/mo","136 Madison St, Brooklyn, NY 11216",1 bd1 ba-- sqft - Apartment for rent
37,"$15,500/mo","55 E 86th St #9C, New York, NY 10028","3 bds2.5 ba1,643 sqft - Apartment for rent"
38,"$3,500/mo","315 Gates Ave APT 5R, Brooklyn, NY 11216",1 bd1 ba719 sqft - Apartment for rent
39,"$3,800/mo","140 E 56th St APT 10A, New York, NY 10022",Studio 1 ba540 sqft - Apartment for rent
40,"$3,680/mo","155 W 82nd St APT 2, New York, NY 10024",1 bd1 ba-- sqft - Apartment for rent
